Pressure,Enthalpy
6558.188480741015,4336.840493635785
7737.01198183769,13441.140754233606
9091.691072752536,22558.35360862368
10642.786251511921,31689.52128115612
12412.524598787444,40835.516065643395
14424.859511133578,49997.05505231407
16705.526843376643,59174.71552865701
19282.097176929896,68368.95070860068
22184.023979516685,77580.10547957354
25442.687474934253,86808.43189749213
29091.43406240719,96054.10420268847
33165.61119101773,105317.23317321118
37702.597621732,114597.87967365865
42741.82906461187,123896.06729676202
48324.81920401308,133211.79403016312
54495.17617256866,142545.04291191162
61298.61457607955,151895.79166486347
68782.96318130149,161264.02132227816
76998.16842724019,170649.72387491167
85996.29394626334,180052.9089839388
95831.51628891891,189473.60981446278
106560.11707515169,198911.88805178297
118240.47180635607,208367.83816724436
130933.03559146184,217841.59100298613
144700.32603006324,227333.31674547982
159606.9035229378,236843.22735693477
175719.34926554724,246371.5785317045
193106.24118230515,255918.6712420201
211838.12807081873,265484.8529340621
231987.50219598092,275070.51843169576
253628.77058956746,284676.1106012745
276838.22529390955,294302.1208270914
301694.01277258946,303949.0893431648
328276.10272540106,313617.60546348576
356666.2565008201,323308.30774938606
386947.99532446836,333021.8841496287
419206.5685321276,342759.0721460476
453528.9219918654,352520.6589351386
490003.6668927773,362307.4816739541
528721.0490761641,372120.4278170756
569772.9190665054,381960.43557009794
613252.7029724815,391828.4944843162
659255.3744089802,401725.64621684013
707877.4275950918,411652.9854803887
759216.851790491,421611.6612075225
813373.1072247024,431602.877954996
870447.102672518,441627.89757536916
930541.174858547,451688.0411850331
993759.0698417735,461784.69146039034
1060205.9265891898,471919.2952972041
1129988.2628954453,482093.36687207135
1203213.9638994648,492308.49114992784
1279992.2733762471,502566.32788709045
1360433.788078337,512868.6161864619
1444650.4553683505,523217.1796694755
1532755.574437546,533613.9323392122
1624863.8014213159,544060.8852204793
1721091.1587551676,554560.1538762474
1821555.049153247,565113.9669159355
1926374.2746280772,575724.6756301218
2035669.0610146148,586394.7649091011
2149561.088523522,597126.8656298534
2268173.528892277,607923.7687287525
2391631.089777616,618788.4412165898
2520060.067116813,629724.0444401625
2653588.4062625575,640733.9549524802
2792345.772800178,651821.7884243607
2936463.63408366,662991.427117
3086075.3526623007,674247.0515424522
3241316.292918627,685593.1770723049
3402323.9424597723,697034.6964219117
3569238.050012933,708576.929147877
3742200.7818572456,720225.6795637138
3921356.899163014,731987.3048203877
4106853.959022502,743868.7953394693
4298842.5424602255,755877.8703605626
4497476.513371564,768023.0921188756
4702913.313178987,780314.0031694757
4915314.297163279,792761.2927173374
5134845.1200079555,805376.9996338526
5361676.1803767085,818174.7623438776
5595983.137757256,831170.1292546839
5837947.51692058,844380.9483324592
6087757.428270796,857827.8615367744
6345608.424926122,871534.9402639759
6611704.543353938,885530.5136627286
6886259.57311267,899848.2659977961
7169498.624600962,914528.7180937602
7461660.09105688,929621.2723215319
7762998.150010485,945187.1119879328
8073786.032958328,961303.4478813371
8394320.433608476,978069.9907946134
8724927.66656777,995619.3144147376
9065972.612715926,1014134.493879658
9417872.277037036,1033881.5345463463
9781117.379965972,1055275.2568109562
10156308.996657021,1079032.7706020284
10544226.581843521,1106612.931920761
10945973.192884061,1142043.726031749
11363391.162815327,1247802.1607166026
