Pressure,Enthalpy
657.5593809726452,4218.876608288915
859.0958205659902,20082.185646524806
1113.399872582095,35910.897622031174
1431.8912374004724,51713.62054217148
1827.9162607088706,67496.98649668304
2316.972730476237,83266.17356043993
2916.94224672188,99025.26492189452
3648.334014567112,114777.50695214259
4534.536128606791,130525.50167440041
5602.072346340878,146271.35457602635
6880.864826468701,162016.79055526492
8404.498782286022,177763.2461393281
10210.48914723942,193511.9434053829
12340.546153533272,209263.94941294982
14840.838763294592,225020.22395634066
17762.254308691794,240781.6577963685
21160.652011203496,256549.10308639472
25097.109704541963,272323.3973931496
29638.16152401983,288105.38246789377
34856.02568064902,303895.9187352871
40828.82128747033,319695.8963098844
47640.77235224836,335506.24321962596
55382.399219547624,351327.93140688946
64150.69580709199,367161.9809822274
74049.29248042444,383009.4631270332
85188.60405647158,398871.50197260565
97685.96267116463,414749.27572597074
111665.73536430826,430644.01726310427
127259.42640253296,446557.0143699936
144605.76449620153,462489.6097769315
163850.7751576231,478443.2011035548
185147.83847362024,494419.24080822465
208657.73288205976,510419.2362164967
234548.66547238437,526444.7496879322
262996.28927479504,542497.3989679335
294183.70847295393,558578.8577619785
328301.47211691353,574690.8565618889
365547.55722122954,590835.1837485275
406127.3420749267,607013.6869911611
450253.57070436975,623228.2749615387
498146.3093531225,639480.9193793461
550032.8959971642,655773.6574052003
606147.8839023164,672108.5943986189
666732.9801218745,688487.9070593154
732036.9800823389,704913.8469729747
802315.6992944934,721388.7445855752
877831.90310539,737915.0136341745
958855.2358083328,754495.1560670445
1045662.1499284467,771131.7674910852
1138535.8370180537,787827.5431915829
1237766.1609460458,804585.2847764657
1343649.594921589,821407.9075062026
1456489.1633282348,838298.4483806571
1576594.3897092757,855260.0750661162
1704281.2521003427,872296.0957594746
1839872.1470298418,889409.9701026023
1983695.8636341975,906605.3212789169
2136087.5693480233,923885.9494461521
2297388.808809513,941255.846685433
2467947.517206343,958719.2136772609
2648118.0514378864,976280.478352363
2838261.2386080334,993944.3168066838
3038744.4465034194,1011715.6768238503
3249941.6769653275,1029599.8044082981
3472233.6860093367,1047602.2738076248
3706008.1324955253,1065729.021591345
3951659.7601258103,1083986.3854625225
4209590.6159637505,1102381.148609849
4480210.310223202,1120920.5905690808
4763936.322461627,1139612.545760834
5061194.36004333,1158465.4711158767
5372418.775691994,1177488.5245035025
5698053.051960656,1196691.6560590423
6038550.361820234,1216085.714987343
6394374.216078138,1235682.5750311497
6765999.210414979,1255495.2825815543
7153911.887208167,1275538.2324354
7558611.730516126,1295827.3775652284
7980612.316493494,1316380.4811027618
8420442.646739779,1337217.4212707109
8878648.69871005,1358360.563591989
9355795.236182649,1379835.219972602
9852467.934454761,1401670.2222502935
10369275.890422057,1423898.6503932367
10906854.607980547,1446558.7760528757
11465869.575301323,1469695.3165882407
12047020.582952337,1493361.1535892878
12651046.964152988,1517619.7719589795
13278733.984169189,1542548.85264163
13930920.603162345,1568245.7583130985
14608508.844067654,1594836.175869435
15312474.916023292,1622488.0704161243
16043882.194762394,1651434.6000739285
16803896.513856724,1682012.070903121
17593806.742971815,1714722.538669744
18415065.336049624,1750334.2106927393
19269409.608106554,1790039.7049428865
20159263.023682594,1835871.198410031
21088701.962328475,1894005.567417999
22064000.00000115,2084256.255907945
