Pressure (Pa),Enthalpy Liquid (J/kg)
6558.188480741015,4336.840493635785
6835.334257608829,6594.661278688301
7122.412389428017,8853.222295854648
7419.709269583103,11112.542620857463
7727.517245574825,13372.640608392325
8046.13468165642,15633.533903899703
8375.866018736473,17895.23945568887
8717.021837163098,20157.773527415375
9069.918913580263,22421.151710843187
9434.88028162478,24685.38893891724
9812.235290755223,26950.499499100693
10202.319662090498,29216.497046946246
10605.47554491472,31483.39461989307
11022.051575618305,33751.20465128014
11452.402929801665,36019.93898451329
11896.891376765241,38289.60888740578
12355.885333050122,40560.22506665219
12829.759917887874,42831.79768242282
13318.896998585722,45104.33636303973
13823.685248751219,47377.850219758155
14344.520191664433,49652.34786156565
14881.804252122318,51927.83741006048
15435.946804802912,54204.32651432929
16007.364219504554,56481.82236583073
16596.479908715017,58760.33171327837
17203.724370933618,61039.86087748365
17829.53523740042,63320.41576615765
18474.35731135988,65602.00188865664
19138.642612578908,67884.6243706566
19822.85041835795,70168.28796873766
20527.44730254597,72452.99708486864
21252.907174426517,74738.7557807815
21999.71131782149,77025.56779222871
22768.34842590514,79313.43654309219
23559.31463822328,81602.36515935791
24373.11357536172,83892.35648293578
25210.25637360112,86183.41308531466
26071.261713714463,88475.53728103446
26956.655856878126,90768.73114100029
27866.972673018936,93062.99650558119
28802.75366918015,95358.33499754073
29764.548019984373,97654.7480347448
30752.91259343124,99952.23684267745
31768.411975665455,102250.80246673302
32811.61850039569,104550.44578430637
33883.11226656474,106851.16751663947
34983.48116720655,109152.96824046991
36113.32090745498,111455.8483994304
37273.23502580328,113759.8083152223
38463.83491496779,116064.84819856784
39685.73983905949,118370.96815990724
40939.57695129227,120678.16821987052
42225.98131166648,122986.44831951695
43545.59590004044,125295.80833031754
44899.07163318078,127606.24806391985
46287.06737520252,129917.76728165109
47710.249952459904,132230.36570380104
49169.29416174396,134544.04301865457
50664.88278414264,136858.79889128992
52197.7065908982,139174.6329721435
53768.46435230722,141491.5449053265
55377.862846693744,143809.53433672688
57026.61686467385,146128.6009218625
58715.44921428377,148448.74433351427
60445.09072734516,150769.96426912435
62216.280259270294,153092.26045797547
64029.76469459346,155415.63266814305
65886.29894631452,157740.0807132261
67786.64595729674,160065.60445886746
69731.57669997143,162392.20382906072
71721.87017271055,164719.87881222606
73758.31340120264,167048.6294671166
75841.70143184435,169378.45592848025
77972.83733044045,171709.35841255332
80152.53217553423,174041.33722233446
82381.6050529666,176374.39275268157
84660.88304997157,178708.52549521058
86991.20124708602,181043.73604300953
89373.40271003068,183380.0250951804
91808.33848244723,185717.39346118894
94296.86757265427,188055.8420650483
96839.85694731656,190395.3719493397
99438.18151556983,192735.98427905064
102092.7241218781,195077.6803452719
104804.37553048143,197420.46156872573
107574.034411669,199764.3295031343
110402.60732967909,202109.28583845726
113291.0087265367,204455.3324039652
116240.16090663837,206802.47117118878
119250.99402122505,209150.70425671336
122324.4460514369,211500.03392486006
125461.46279163615,213850.46259022152
128662.99783085071,216201.9928200795
131930.01253450522,218554.62733670205
135263.47602509835,220908.36901951896
138664.3651624638,223263.22090718983
142133.66452522177,225619.18619956097
145672.3663887041,227976.2682595133
149281.47070309022,230334.4706147048
152961.98507461086,232693.7969592324
156714.92473936296,235054.25115517512
160541.31254609884,237415.83723407018
164442.17892687663,239778.55939827097
168418.56187907397,242142.42202225872
172471.506938103,244507.42965384407
176602.06715558463,246873.5870153064
180811.30307213461,249240.89900444724
185100.28269517733,251609.37069559118
189470.08147076843,253979.00734049772
193921.78226013595,256349.81436923132
198456.47531225107,258721.79739095154
203075.258238671,261094.96219465515
207779.2359844652,263469.3147498566
212569.52080498636,265844.8612072328
217447.23223552195,268221.6078991952
222413.49706553714,270599.56134043104
227469.4493097682,272978.7282283952
232616.23018030828,275359.1154437645
237854.9880614922,277740.73005086026
243186.87847708038,280123.57929801365
248613.06406204315,282507.67061791214
254134.71453934,284893.01162793464
259753.00668466382,287279.610130416
265469.12429945776,289667.47411292105
271284.2581842642,292056.61174848216
277199.60610557604,294447.0313958133
283216.37276791444,296838.74159950996
289335.769785941,299231.75109023903
295559.015650933,301626.0687848891
301887.33570635546,304021.7037867486
308321.96211364435,306418.66538563505
314864.13382307056,308816.9630580358
321515.09654690407,311216.6064672453
328276.10272540106,313617.60546348576
335148.41150116525,316019.97008403664
342133.2886835656,318423.7105533506
349232.00672562537,320828.8372831924
356445.84468753444,323235.36087275605
363776.08821231534,325643.2921088051
371224.0294914698,328052.6419658102
378790.96723930526,330463.4216061061
386478.2066587453,332875.6423800359
394287.05941530236,335289.31582613796
402218.8436058247,337704.45367131976
410274.8837290021,340121.06783106265
418456.5106559004,342539.1704096349
426765.061602257,344958.77370033535
435201.8800954297,347379.89018572425
443768.31595012423,349802.5325379297
452465.72523544263,352226.7136189199
461295.4702484134,354652.4464808349
470258.9194841831,357079.74436633935
479357.44760818937,359508.62070898555
488592.43542787497,361939.0891336233
497965.2698630373,364371.1634568344
507477.34392031,366804.85768739105
517130.0566648474,369240.18602676387
526924.813188591,371677.16286963254
536863.0245907576,374115.802804478
546946.1079442087,376556.12061417074
557175.486271183,378998.13127661217
567552.5885157427,381441.8499654232
578078.849519521,383887.29205066396
588755.7099929056,386334.4730996013
599584.6164910047,388783.4088775159
610567.0213872244,391234.1153485549
621704.3828479948,393686.6086766401
632998.1648101041,396140.90522641555
644449.836951558,398597.0215642395
656060.8746707054,401054.9744592431
667832.7590623007,403514.7808844348
679766.9768931587,405976.4580178495
691865.0205756533,408440.02324376325
704128.3881517734,410905.4941539747
716558.583263976,413372.88854911167
729157.115136062,415842.22444004053
741925.4985509422,418313.5200493003
754865.2538289853,420786.79381262785
767977.9068066652,423262.06438053027
781264.988817078,425739.35061993194
794728.036667609,428218.67161588685
808368.5926230903,430700.0466733664
822188.2043840811,433183.49531911087
836188.4250678841,435669.0373035613
850370.8131926336,438156.69260286464
864736.9326574074,440646.4814209571
879288.3527233573,443138.42419172503
894026.648000706,445632.5415812566
908953.3984281502,448128.8544901538
924070.1892594802,450627.38405596506
939378.6110481622,453128.1516556756
954880.2596301707,455631.17890830146
970576.7361118562,458136.48767757404
986469.646854783,460644.10007472115
1002560.6034650041,463154.0384613477
1018851.2227763184,465666.3254524018
1035343.1268409872,468180.98391926265
1052037.942917904,470698.0369929238
1068937.3034625242,473217.50806728756
1086042.846113204,475739.4208025603
1103356.2136867784,478263.79912877915
1120879.054165935,480790.6672494442
1138613.0206910064,483320.04964526795
1156559.771555344,485851.97107805515
1174720.9701965367,488386.4565947122
1193098.285187799,490923.5315313701
1211693.3902387472,493463.2215176642
1230507.9641848374,496005.55248112907
1249543.6909865132,498550.55065175093
1268802.2597248722,501098.2425666594
1288285.3646003092,503648.6550749613
1307994.704931493,506201.81534274935
1327931.9851514876,508757.7508582379
1348098.9148116917,511316.4894370882
1368497.2085807384,513878.05922788975
1389128.5862478027,516442.48871781456
1409994.7727230452,519009.80673844815
1431097.4980434282,521580.0424718029
1452438.4973771353,524153.2254565254
1474019.5110290307,526729.3855942908
1495842.284444998,529308.5531563979
1517908.5682230527,531890.7587905737
1540220.1181200682,534476.0335279892
1562778.6950613111,537064.4087904862
1585586.0651516428,539655.9163980486
1608643.9996864274,542250.5885764784
1631954.275165869,544848.4579653423
1655518.6733068912,547449.5576261398
1679338.9810603212,550053.921050752
1703416.9906277172,552661.5821701282
1727754.499474932,555272.5753632672
1752353.3103553357,557886.935466466
1777215.2313268897,560504.6977828713
1802342.0757771488,563125.8980923247
1827735.6624401337,565750.572661512
1853397.8154267385,568378.7582544534
1879330.3642436797,571010.4921433022
1905535.1438271534,573645.8121195126
1932013.9945643595,576284.7565053346
1958768.7623286499,578927.3641657068
1985801.2985069812,581573.6745205024
2013113.4600345795,584223.7275571878
2040707.1094293874,586877.5638438849
2068584.114826761,589535.2245428476
2096746.350016967,592196.7514243885
2125195.694487352,594862.1868812533
2153934.033459028,597531.5739434565
2182963.2579341447,600204.9562936284
2212285.264736327,602882.3782828387
2241901.9565603887,605563.884946963
2271815.242018052,608249.5220235847
2302027.035691634,610939.3359694696
2332539.2581829885,613633.3739786092
2363353.836170637,616331.6840008919
2394472.7024622234,619034.3147613883
2425897.7960597207,621741.3157803011
2457631.062213143,624452.7373935939
2489674.4524888517,627168.630774328
2522029.924831807,629889.0479547249
2554699.443635612,632614.0418490169
2587684.9798111776,635343.6662770618
2620988.5108598163,638077.9759888131
2654612.020949408,640817.0266896272
2688557.500989749,643560.8750664833
2722826.9487175355,646309.5788151321
2757422.36877465,649063.1966682074
2792345.772800178,651821.7884243607
2827599.179510749,654585.4149784358
2863184.614803967,657354.1383527627
2899104.111843725,660128.0217295744
2935359.711165945,662907.1294846408
2971953.4607729656,665691.527222122
3008887.416245094,668481.2818107482
3046163.6408447847,671276.4614213516
3083784.2056314205,674077.1355657936
3121751.1895740754,676883.3751374134
3160066.6796713877,679695.2524529783
3198732.771076396,682512.8412962952
3237751.567221692,685336.216963482
3277125.179951627,688165.4563100227
3316855.729655492,691000.6377996687
3356945.345409777,693841.8415552852
3397396.1651206836,696689.1494117108
3438210.3356721024,699542.6449707659
3479390.0130804535,702402.4136584607
3520937.362650015,705268.5427845604
3562854.559139182,708141.1216045942
