Pressure (Pa),Enthalpy Vapor (J/kg)
6558.188480741015,1490792.5271244694
6835.334257608829,1491756.15406413
7122.412389428017,1492718.4026017212
7419.709269583103,1493679.2530013304
7727.517245574825,1494638.6854911866
8046.13468165642,1495596.6802678844
8375.866018736473,1496553.2175005935
8717.021837163098,1497508.2773352538
9069.918913580263,1498461.8398987413
9434.88028162478,1499413.8853030058
9812.235290755223,1500364.393649173
10202.319662090498,1501313.3450316014
10605.47554491472,1502260.719541897
11022.051575618305,1503206.4972728644
11452.402929801665,1504150.6583224079
11896.891376765241,1505093.182797359
12355.885333050122,1506034.050817236
12829.759917887874,1506973.2425179281
13318.896998585722,1507910.7380552914
13823.685248751219,1508846.517608662
14344.520191664433,1509780.561384271
14881.804252122318,1510712.849618567
15435.946804802912,1511643.3625814272
16007.364219504554,1512572.0805792653
16596.479908715017,1513498.9839580257
17203.724370933618,1514424.0531060577
17829.53523740042,1515347.268456868
18474.35731135988,1516268.6104917494
19138.642612578908,1517188.0597422756
19822.85041835795,1518105.5967926662
20527.44730254597,1519021.2022820108
21252.907174426517,1519934.8569063537
21999.71131782149,1520846.541420637
22768.34842590514,1521756.2366404925
23559.31463822328,1522663.9234438892
24373.11357536172,1523569.5827726296
25210.25637360112,1524473.1956336885
26071.261713714463,1525374.7431003987
26956.655856878126,1526274.2063134832
27866.972673018936,1527171.5664819248
28802.75366918015,1528066.80488368
29764.548019984373,1528959.9028662313
30752.91259343124,1529850.8418469795
31768.411975665455,1530739.6033134768
32811.61850039569,1531626.1688234997
33883.11226656474,1532510.5200049574
34983.48116720655,1533392.6385556455
36113.32090745498,1534272.506242839
37273.23502580328,1535150.1049027238
38463.83491496779,1536025.4164396797
39685.73983905949,1536898.4228253963
40939.57695129227,1537769.106097843
42225.98131166648,1538637.4483600876
43545.59590004044,1539503.4317789571
44899.07163318078,1540367.0385835618
46287.06737520252,1541228.251063662
47710.249952459904,1542087.051567902
49169.29416174396,1542943.4225018988
50664.88278414264,1543797.3463261954
52197.7065908982,1544648.805554081
53768.46435230722,1545497.782749278
55377.862846693744,1546344.2605235062
57026.61686467385,1547188.2215339202
58715.44921428377,1548029.6484804281
60445.09072734516,1548868.5241028941
62216.280259270294,1549704.8311782302
64029.76469459346,1550538.5525173773
65886.29894631452,1551369.6709621865
67786.64595729674,1552198.1693821957
69731.57669997143,1553024.0306713162
71721.87017271055,1553847.2377444245
73758.31340120264,1554667.7735338677
75841.70143184435,1555485.6209858893
77972.83733044045,1556300.7630569744
80152.53217553423,1557113.1827101242
82381.6050529666,1557922.8629110584
84660.88304997157,1558729.786624359
86991.20124708602,1559533.9368095472
89373.40271003068,1560335.2964171122
91808.33848244723,1561133.8483844853
94296.86757265427,1561929.5756319677
96839.85694731656,1562722.4610586215
99438.18151556983,1563512.4875381158
102092.7241218781,1564299.6379145465
104804.37553048143,1565083.8949982265
107574.034411669,1565865.2415614491
110402.60732967909,1566643.6603342318
113291.0087265367,1567419.1340000478
116240.16090663837,1568191.6451915433
119250.99402122505,1568961.176486245
122324.4460514369,1569727.7104022673
125461.46279163615,1570491.2293940203
128662.99783085071,1571251.7158479132
131930.01253450522,1572009.1520780772
135263.47602509835,1572763.5203220893
138664.3651624638,1573514.802736715
142133.66452522177,1574262.9813936672
145672.3663887041,1575008.038275386
149281.47070309022,1575749.9552708417
152961.98507461086,1576488.7141713658
156714.92473936296,1577224.2966665756
160541.31254609884,1577956.6843400083
164442.17892687663,1578685.8586654204
168418.56187907397,1579411.801002513
