Pressure (Pa),Enthalpy Liquid (J/kg)
435.4736620722707,72638.84979508119
460.64163304851604,73242.25869857683
487.070960711423,73845.69867801838
514.8144440486305,74449.17858462653
543.9266065954428,75052.70704621902
574.4637303608686,75656.29247377966
606.4838950346536,76259.94306784154
640.0470153448043,76863.66682468468
675.214877641467,77467.47154235137
712.0511779323417,78071.36482648992
750.6215601346464,78675.35409602919
790.9936537599951,79279.44658869145
833.2371102027826,79883.64936634242
877.4236442189863,80487.96932019557
923.6270686721637,81092.41317585934
971.9233342427472,81696.98749824717
1022.3905675296337,82301.69869634438
1075.1091082443522,82906.55302783976
1130.1615483716841,83511.55660362742
1187.632768694531,84116.71539218005
1247.6099806130874,84722.03522380191
1310.1827573896412,85327.52179475526
1375.4430792145567,85933.18067127944
1443.485366252427,86539.01729349168
1514.406517454056,87145.03697918024
1588.305948679306,87751.24492749262
1665.2856296180607,88357.64622252103
1745.450120888122,88964.2458367881
1828.9066107384467,89571.04863463409
1915.764952341046,90178.0593755149
2006.1377000752427,90785.2827172045
2100.1401461755595,91392.72321891457
2197.8903563895724,92000.38534432207
2299.5092055762,92608.27346451998
2405.1204137936847,93216.3918608829
2514.850581350411,93824.74472785872
2628.82922403216,94433.33617568256
2747.1888063374745,95042.17023301442
2870.064778379674,95651.250849512
2997.5956065667597,96260.58189832719
3129.922809658024,96870.16717854157
3267.190990776263,97480.01041753171
3409.547870328687,98090.1152732745
3557.144319055109,98700.48533659003
3710.1343884797216,99311.12413332371
3868.6753441068413,99922.03512647309
4032.927695422197,100533.22171825582
4203.055226887573,101144.68725212428
4379.225028073633,101756.4350147281
4561.60752433207,102368.46823782488
4750.376502933944,102980.79010013827
4945.709145511857,103593.40372917235
5147.786054476858,104206.3122029759
5356.791280938154,104819.51855186239
5572.912351391149,105433.02576008342
5796.340295711914,106046.83676746384
6027.269671547785,106660.95447098832
6265.898591449451,107275.38172635478
6512.428746906982,107890.1213494819
6767.06543288945,108505.17611798407
7030.017572988686,109120.54877260514
7301.497740563586,109736.24201861693
7581.722183767541,110352.25852718587
7870.910845924091,110968.60093670097
8169.287388379249,111585.27185407226
8477.079210479249,112202.27385599572
8794.51747091574,112819.60949018883
9121.837106872725,113437.28127659322
9459.2768536994,114055.29170855074
9807.079262530275,114673.64325394873
10165.490720052734,115292.3383563409
10534.761464021096,115911.37943603868
10915.145601112388,116530.76889117704
11306.901122952462,117150.50909875604
11710.289921259413,117770.60241565795
12125.577802796211,118391.05117963908
12553.034504577923,119011.85771030176
12992.933705922927,119633.02431003921
13445.553042764079,120254.5532649641
13911.174120332205,120876.44684581111
14390.082524198977,121498.70730882412
14882.56783125953,122121.33689661892
15388.923621568962,122744.33783903002
15909.447486994857,123367.71235393704
16444.441041699793,123991.46264807446
16994.20992963796,124615.59091782178
17559.063834636527,125240.09934998091
18139.316486198797,125864.99012253204
18735.28566725445,126490.26540537711
19347.29322079663,127115.92736106664
19975.665055019555,127741.97814551262
20620.731148955965,128368.41990868494
21282.825557242388,128995.25479529644
21962.286413291353,129622.4849454725
22659.455934292655,130250.11249540906
23374.68042266659,130878.13957801623
24108.310269285757,131506.5683235514
24860.699954816737,132135.40086023998
25632.208051279013,132764.63931488447
26423.197222488117,133394.28581346216
27234.0342241965,134024.34248171354
28065.0899042917,134654.81144571956
28916.73920081091,135285.69483246826
29789.361141677502,135916.99477041414
30683.3388419434,136548.7133900254
31599.059501612574,137180.85282432483
32536.91440294365,137813.41520942134
33497.29890657416,138446.40268503272
34480.61244757802,139079.81739500072
35487.258531942694,139713.66148780024
36517.64473055717,140347.9371170388
37572.18267430359,140982.64644194988
38651.28804875762,141617.79162788228
39755.380587104206,142253.3748467773
40884.8840643787,142889.39827764744
42040.226289465434,143525.86410704124
43221.83909831351,144162.7745295103
44430.15834553029,144800.1317480651
45665.623896193334,145437.93797462864
46928.67961776859,146076.19543048574
48219.77336923298,146714.9063467262
49539.356993946596,147354.0729646855
50887.886307887704,147993.6975363797
52265.82109024277,148633.78232493813
53673.62507283553,149274.32960503295
55111.76592921994,149915.34166330306
56580.71526297263,150556.82079877806
58080.948596555165,151198.76932329676
59612.9453597347,151841.18956192653
61177.188876550535,152484.08385337584
62774.16635354038,153127.45455040893
64404.36886664668,153771.3040202561
66068.29134838397,154415.6346450238
67766.4325744211,155060.44882210213
69499.2951494381,155705.7489645713
71267.38549443425,156351.53750160878
73071.21383205522,156997.81687889408
74911.29417233611,157644.58955901294
76788.1442977835,158291.85802186106
78702.2857494839,158939.62476504967
80654.24381158952,159587.89230430883
82644.54749648683,160236.66317389236
84673.72952936645,160885.93992698262
86742.32633267206,161535.72513609583
88850.87801070343,162186.02139349014
90999.92833370868,162836.83131157124
93190.0247218778,163488.15752330355
95421.71822932019,164140.00268261944
97695.56352810186,164792.36946483218
100012.11889124956,165445.2605670496
102371.94617733822,166098.67870859188
104775.61081336657,166752.62663140896
107223.6817777834,167407.10710050215
109716.73158460722,168062.12290434845
112255.33626638327,168717.6768553284
114840.07535702275,169373.7717901548
117471.53187532931,170030.41057030798
120150.29230790061,170687.59608247163
122876.94659233102,171345.33123897493
125652.0880999031,172003.61897823817
128476.31362519214,172662.46226522105
131350.22334319563,173321.8640918774
134274.4208323651,173981.82747761338
137249.51302994054,174642.35546975123
140276.1102223136,175303.4511439996
143354.8260274507,175965.1176049248
146486.27737879485,176627.35798643308
149671.08450810827,177290.1754522552
152909.87092837552,177953.57319643867
156203.2634176312,178617.55444384596
