Pressure (Pa),Enthalpy Vapor (J/kg)
435.4736620722707,335518.72265032626
460.64163304851604,335813.37041369587
487.070960711423,336108.50389862055
514.8144440486305,336404.12049569475
543.9266065954428,336700.21755906456
574.4637303608686,336996.7924059036
606.4838950346536,337293.8423159
640.0470153448043,337591.36453075724
675.214877641467,337889.35625371226
712.0511779323417,338187.81464906025
750.6215601346464,338486.73684170435
790.9936537599951,338786.1199167165
833.2371102027826,339085.9609189134
877.4236442189863,339386.2568524565
923.6270686721637,339687.0046804578
971.9233342427472,339988.2013246185
1022.3905675296337,340289.8436648744
1075.1091082443522,340591.92853906815
1130.1615483716841,340894.4527426365
1187.632768694531,341197.4130283211
1247.6099806130874,341500.8061058382
1310.1827573896412,341804.6286419266
1375.4430792145567,342108.87725952733
1443.485366252427,342413.5485381699
1514.406517454056,342718.6390134924
1588.305948679306,343024.145177139
1665.2856296180607,343330.06347662094
1745.450120888122,343636.39031519974
1828.9066107384467,343943.1220517942
1915.764952341046,344250.25500090997
2006.1377000752427,344557.7854325929
2100.1401461755595,344865.7095724048
2197.8903563895724,345174.0236014238
2299.5092055762,345482.7236562676
2405.1204137936847,345791.8058291404
2514.850581350411,346101.2661679037
2628.82922403216,346411.10067617014
2747.1888063374745,346721.30531342083
2870.064778379674,347031.8759951463
2997.5956065667597,347342.808593011
3129.922809658024,347654.0989350401
3267.190990776263,347965.74280582997
3409.547870328687,348277.7359467805
3557.144319055109,348590.074056351
3710.1343884797216,348902.752790338
3868.6753441068413,349215.76776217425
4032.927695422197,349529.11454324995
4203.055226887573,349842.7886632556
4379.225028073633,350156.7856105451
4561.60752433207,350471.1008324687
4750.376502933944,350785.7297359921
4945.709145511857,351100.6676877809
5147.786054476858,351415.91001488117
5356.791280938154,351731.4520051198
5572.912351391149,352047.28890758293
5796.340295711914,352363.4159331148
6027.269671547785,352679.8282548314
6265.898591449451,352996.5210086527
6512.428746906982,353313.48929384997
6767.06543288945,353630.7281736078
7030.017572988686,353948.2326756021
7301.497740563586,354265.9977925918
7581.722183767541,354584.018483024
7870.910845924091,354902.2896716512
8169.287388379249,355220.8062501617
8477.079210479249,355539.5630778213
8794.51747091574,355858.5549821249
9121.837106872725,356177.7767594587
9459.2768536994,356497.22317577223
9807.079262530275,356816.8889672569
10165.490720052734,357136.7688410348
10534.761464021096,357456.85747585306
10915.145601112388,357777.1495227848
11306.901122952462,358097.63960593555
11710.289921259413,358418.3223231543
12125.577802796211,358739.19224674924
12553.034504577923,359060.2439242059
12992.933705922927,359381.47187890793
13445.553042764079,359702.8706109479
13911.174120332205,360024.43459752563
14390.082524198977,360346.158294124
14882.56783125953,360668.0361349509
15388.923621568962,360990.0625337264
15909.447486994857,361312.2318844026
16444.441041699793,361634.53856188036
16994.20992963796,361956.9769227216
17559.063834636527,362279.5413058584
18139.316486198797,362602.22603329696
18735.28566725445,362925.0254108146
19347.29322079663,363247.9337286518
19975.665055019555,363570.9452621959
20620.731148955965,363894.0542726578
21282.825557242388,364217.2550077394
21962.286413291353,364540.541702293
22659.455934292655,364863.9085789687
23374.68042266659,365187.34984885465
24108.310269285757,365510.8597121025
24860.699954816737,365834.4323585442
25632.208051279013,366158.0619682955
26423.197222488117,366481.7427123461
27234.0342241965,366805.4687531366
28065.0899042917,367129.234245123
28916.73920081091,367453.03333532496
29789.361141677502,367776.8601638593
30683.3388419434,368100.7088644602
31599.059501612574,368424.5735649802
32536.91440294365,368748.448387878
33497.29890657416,369072.32745068794
34480.61244757802,369396.20486647234
35487.258531942694,369720.0747442564
36517.64473055717,370043.931189446
37572.18267430359,370367.76830422564
38651.28804875762,370691.58018793986
39755.380587104206,371015.3609374528
40884.8840643787,371339.1046474918
42040.226289465434,371662.8054109694
43221.83909831351,371986.4573192851
44430.15834553029,372310.0544626091
45665.623896193334,372633.59093014384
46928.67961776859,372957.06081036583
48219.77336923298,373280.45819124713
49539.356993946596,373603.7771604542
50887.886307887704,373927.01180552825
52265.82109024277,374250.15621404175
53673.62507283553,374573.20447373553
55111.76592921994,374896.15067263297
56580.71526297263,375218.9888991333
58080.948596555165,375541.713242083
59612.9453597347,375864.31779082504
61177.188876550535,376186.7966352267
62774.16635354038,376509.14386568544
64404.36886664668,376831.3535731115
66068.29134838397,377153.4198488908
67766.4325744211,377475.3367848229
69499.2951494381,377797.0984730397
71267.38549443425,378118.6990058995
73071.21383205522,378440.1324758605
74911.29417233611,378761.3929753318
76788.1442977835,379082.4745965025
78702.2857494839,379403.3714311473
80654.24381158952,379724.07757041295
82644.54749648683,380044.58710457943
84673.72952936645,380364.89412280126
86742.32633267206,380684.99271282664
88850.87801070343,381004.8769606941
90999.92833370868,381324.540950407
93190.0247218778,381643.9787635886
95421.71822932019,381963.18447911146
97695.56352810186,382282.1521727098
100012.11889124956,382600.8759165665
102371.94617733822,382919.34977888054
104775.61081336657,383237.567823413
107223.6817777834,383555.5241090108
109716.73158460722,383873.21268910967
112255.33626638327,384190.62761121616
114840.07535702275,384507.76291636855
117471.53187532931,384824.6126385757
120150.29230790061,385141.17080423515
122876.94659233102,385457.4314315322
125652.0880999031,385773.3885298144
128476.31362519214,386089.03609853
131350.22334319563,386404.36812831915
134274.4208323651,386719.37859755824
137249.51302994054,387034.061473597
140276.1102223136,387348.4107115191
143354.8260274507,387662.42025339254
146486.27737879485,387976.0840275017
149671.08450810827,388289.3959475571
