Pressure (Pa),Enthalpy Liquid (J/kg)
657.5593809726452,4218.876608288915
703.1983695664585,8158.675802867408
751.62011621728,12095.85508448082
802.9693110639981,16030.592549020756
857.3968098328959,19963.054016783357
915.0597332312682,23893.39409698325
976.1217480804411,27821.757135934666
1040.7532801779116,31748.278062255733
1109.1313182236267,35673.08314331819
1181.4403438116128,39596.290665551016
1257.87187638562,43518.01154394072
1338.6249744068898,47438.34987450185
1423.9064254803995,51357.40343308777
1513.9308753960872,55275.26412860538
1608.9210668037736,59192.01841519553
1709.1082335202386,63107.74766950799
1814.7321485724053,67022.52853437922
1926.0411055920308,70936.43323549839
2043.2927475202414,74849.529872973
2166.753790940398,78761.88268929427
2296.700333540841,82673.55231759929
2433.4183078235983,86584.59601233651
2577.20329996021,90495.06786251192
2728.3615766158255,94405.01899147
2887.2092635080594,98314.49774147567
3054.073380320231,102223.5498479634
3229.2916241710554,106132.21860133592
3413.212965017186,110040.54499946644
3606.1977042858425,113948.56789032405
3808.6176149783096,117856.32410617458
4020.8564010381815,121763.84859007383
4243.309816096098,125671.1745146797
4476.385953289338,129578.3333947682
4720.5054316750875,133485.35519275034
4976.101766079989,137392.2684192374
5243.621332255472,141299.1002269333
5523.524158388448,145205.87650100442
5816.283510002908,149112.6219426436
6122.386700527993,153019.36015008553
6442.334968191357,156926.1136938054
6776.643919429533,160832.90418870756
7125.843686922635,164739.7523620213
7490.479318268033,168646.67811787428
7871.110878661458,172553.70059832864
8268.313683012408,176460.8382411909
8682.678659173374,180368.10883492982
9114.812695066885,184275.5295708114
9565.338503450612,188183.1170917423
10034.895265742802,192090.8875392146
10524.138679022526,195998.8565972735
11033.741317416141,199907.0395345073
11564.392702128273,203815.4512432956
12116.799791932779,207724.10627763433
12691.686959824774,211633.01888815296
13289.79643963349,215542.20305583905
13911.888487254953,219451.67252352354
14558.741661819144,223361.4408259818
15231.152934437592,227271.52131773252
15929.938215488468,231181.9272002068
16655.93215807255,235092.67154627817
17409.988812050968,239003.7673243807
18192.981614635784,242915.2274206135
19005.803669051744,246827.06465972835
19849.36802375102,250739.29182490692
20724.607810770038,254651.92167630492
21632.47657511136,258564.9669686211
22573.948413618473,262478.4404672364
23550.018231036625,266392.354963793
24561.7019097958,270306.7232904305
25610.03662005496,274221.5583333997
26696.080945212932,278136.87304553523
27820.915132821872,282052.6804581886
28985.641256302893,285968.99369203363
30191.38347826284,289885.8259675236
31439.288221275623,293803.1906143043
32730.524386269455,297721.10108016164
34066.28344171007,301639.5709392549
35447.7798329466,305558.61389984866
36876.25100855561,309478.24381135905
38352.95756455549,313398.4746708709
39879.18358996308,317319.3206293318
41456.23670542531,321240.79599701386
43085.44837170356,325162.9152488482
44768.1739065948,329085.6930289578
46505.792783005054,333009.1441551027
48299.70874591804,336933.28362269426
50151.34998006033,340858.1266082861
52062.16926504241,344783.688472999
54033.6441511837,348709.98476546386
56067.27709510914,352637.03122453036
58164.59560955388,356564.8437817055
60327.15244441931,360493.438563409
62556.52565433948,364422.83189284924
64854.318841753244,368353.0402918702
67222.16120845405,372284.080482431
69661.70772532039,376215.9693880447
72174.63924300838,380148.72413492156
74762.66265795083,384082.36205309175
77427.51097685398,388016.90067723463
80170.94348209255,391952.35774752265
82994.74582126166,395888.75121021154
85900.73012597344,399826.09921827295
88890.73514404675,403764.4201317646
91966.6262771904,407703.7325182378
95130.29575804665,411644.0551530286
98383.6627039445,415585.4070194497
101728.67321980884,419527.80730896816
105167.3004837207,423471.2754212966
108701.54485525863,427415.83096447616
112333.43393220214,431361.4937548715
116065.02262802707,435308.2838171362
119898.39327958113,439256.221384252
123835.65569620585,443205.32689741364
127878.94722117689,447155.6210060096
132030.43281257898,451107.12456747534
136292.30511553283,455059.85864730476
140666.78449674207,459013.84451893484
145156.11909461077,462969.1036636541
149762.58492765314,466925.6577706383
154488.4858513344,470883.5287367733
159336.15370907835,474842.7386668149
164307.94827815966,478803.3098732025
169406.2573687762,482765.2648762655
174633.4968475826,486728.62640416174
179992.1106547088,490693.4173930385
185484.57085365028,494659.6609871561
191113.3776387957,498627.38053901907
196881.05939104955,502596.5996096587
202790.1726306482,506567.34196880064
208843.3021302158,510539.6315952719
215043.06084711113,514513.49267724133
221392.08998685755,518488.9496127258
227893.05896548205,522466.0270099502
234548.66547238437,526444.7496879322
241361.63542524935,530425.142676981
248334.72300968145,534407.2312193889
255470.71062180062,538391.0407700264
262772.40891637246,542376.5969971523
270242.65679571196,546363.9257832053
277884.321373177,550353.0532256371
285700.29796087113,554344.0056378645
293693.5100848971,558336.8095502848
301866.9094438454,562331.4917112921
310223.47589921183,566328.0790884746
318766.21744539804,570326.598869735
327498.1701769532,574327.0784646451
336422.3983167332,578329.5455057231
345541.9941190885,582334.0278499173
354860.0778610284,586340.553579992
364379.79782313923,590349.1510062012
374104.3302646086,594359.8486678734
384036.87933782954,598372.6753351025
394180.67712553905,602387.6600106116
404538.9835171916,606404.831931547
415115.08624137705,610424.2205714996
425912.30076046236,614445.8556424484
436933.9702749158,618469.7670969503
448183.46564727364,622495.9851302988
459664.18536390713,626524.5401827887
471379.55549091124,630555.4629421126
483333.0296135304,634588.7843457583
495528.08877854847,638624.5355835574
507968.2414620177,642662.74810032
520657.02347984747,646703.4535985097
533597.9979806016,650746.6840410673
546794.7553490052,654792.4716542647
560250.913152095,658840.8489306879
573970.1160974512,662891.848632337
587956.0359628851,666945.5037937541
602212.3715207204,671001.8477252607
616742.8485117683,675060.9140163744
631551.2195405755,679122.7365392023
646641.2640521487,683187.3494520205
662016.7882341385,687254.7872029335
677681.6249749586,691325.0845335976
693639.6337875279,695398.2764830987
709894.7007456811,699474.3983919203
726450.7384253191,703553.4859060148
743311.6858163394,707635.5749809468
760481.5082941523,711720.701886267
777964.1975213005,715808.9032098164
795763.7713824849,719900.2158623349
813884.2739257371,723994.6770820214
832329.7753152555,728092.3244393811
851104.3717186477,732193.1958420156
870212.185279696,736297.3295396762
889657.3640298336,740404.764129378
909444.0818434324,744515.5385606801
929576.5383430693,748629.6921410471
950058.9588518019,752747.2645413952
970895.5943254337,756868.2958017347
992090.721302082,760992.8263370292
1013648.6417988578,765120.8969430575
1035573.6832738817,769252.5488025858
1057870.1985901217,773387.8234915878
1080542.5659014808,777526.7629856289
1103595.188609418,781669.4096664415
1127032.4953251786,785815.8063286424
1150858.9397908682,789965.9961866274
1175079.0008069999,794120.0228815917
1199697.1822146336,798277.9304888078
1224718.0128037287,802439.7635249791
1250146.046265171,806605.5669558813
1275985.861160294,810775.3862041053
1302242.0608372106,814949.2671570306
1328919.273398115,819127.2561750092
