Pressure (Pa),Enthalpy Vapor (J/kg)
657.5593809726452,2502749.579804649
703.1983695664585,2504463.5356241115
751.62011621728,2506176.8917468684
802.9693110639981,2507889.632256068
857.3968098328959,2509601.740844607
915.0597332312682,2511313.2008047337
976.1217480804411,2513023.9950180296
1040.7532801779116,2514734.105945806
1109.1313182236267,2516443.5156199397
1181.4403438116128,2518152.205634179
1257.87187638562,2519860.157135931
1338.6249744068898,2521567.350818553
1423.9064254803995,2523273.766914169
1513.9308753960872,2524979.3851869954
1608.9210668037736,2526684.184927231
1709.1082335202386,2528388.144945461
1814.7321485724053,2530091.243567618
1926.0411055920308,2531793.458630481
2043.2927475202414,2533494.7674776986
2166.753790940398,2535195.1469563576
2296.700333540841,2536894.5734140547
2433.4183078235983,2538593.022696484
2577.20329996021,2540290.4701455045
2728.3615766158255,2541986.8905976927
2887.2092635080594,2543682.25838334
3054.073380320231,2545376.5473258984
3229.2916241710554,2547069.730741819
3413.212965017186,2548761.781440808
3606.1977042858425,2550452.671726416
3808.6176149783096,2552142.373396998
4020.8564010381815,2553830.8577469634
4243.309816096098,2555518.0955683305
4476.385953289338,2557204.057152531
4720.5054316750875,2558888.7122924565
4976.101766079989,2560572.0302846986
5243.621332255472,2562253.979931992
5523.524158388448,2563934.5295457747
5816.283510002908,2565613.646948915
6122.386700527993,2567291.299478504
6442.334968191357,2568967.4539887523
6776.643919429533,2570642.076853915
7125.843686922635,2572315.133971261
7490.479318268033,2573986.59076404
7871.110878661458,2575656.4121844433
8268.313683012408,2577324.56271652
8682.678659173374,2578991.0063790474
9114.812695066885,2580655.7067283285
9565.338503450612,2582318.626860905
10034.895265742802,2583979.7294161664
10524.138679022526,2585638.9765788596
11033.741317416141,2587296.3300814494
11564.392702128273,2588951.75120637
12116.799791932779,2590605.2007881235
12691.686959824774,2592256.6392152254
13289.79643963349,2593906.0264320076
13911.888487254953,2595553.321940252
14558.741661819144,2597198.4848006726
15231.152934437592,2598841.473634237
15929.938215488468,2600482.2466233233
16655.93215807255,2602120.761512722
17409.988812050968,2603756.9756104928
18192.981614635784,2605390.8457886586
19005.803669051744,2607022.328483767
19849.36802375102,2608651.3796973163
